_id,viewing_product_id,referrer_url
5ed8129778aa7636ca534e8a,92475,https://www.glamira.nl/glamira-pendant-aika.html?alloy=white_red-585&diamond=sapphire&itm_source=recommendation&itm_medium=detail
5ed80bbfe0da54376c387b34,92519,https://www.glamira.fr/glamira-pendant-laima.html?alloy=white-585&diamond=amethyst&itm_source=recommendation&itm_medium=detail
5ed80b11a32efc3766c4b56d,89593,https://www.glamira.se/glamira-ringar-final-round.html?diamond=amethyst&alloy=yellow-375
5ed80b03385d1f36b89e9516,89593,https://www.glamira.se/glamira-ringar-final-round.html?diamond=amethyst&alloy=yellow-375
5ed80b0e5d4dd036fa16c7a3,89593,https://www.glamira.se/glamira-ringar-final-round.html?diamond=amethyst&alloy=yellow-375
5ed80b10c671fc36b74596f3,89593,https://www.glamira.se/glamira-ringar-final-round.html?diamond=amethyst&alloy=yellow-375
5ed80ae073c8be36d0696fe8,89593,https://www.glamira.se/glamira-ringar-final-round.html?diamond=amethyst&alloy=yellow-375
5ed80b0656b3dd3742255efb,89593,https://www.glamira.se/glamira-ringar-final-round.html?diamond=amethyst&alloy=yellow-375
5ed809134f117c373c86129b,97314,
5ed808cbc671fc36b7459236,97314,
5ed808c334103036e28d334d,97314,
5ed808c266936336eec2e2bb,97314,
5ed8085b7d602a3748f6eb45,97314,
5ed8085d93ed00371ed7474a,97314,
5ed8083473c8be36d0696a69,97314,
5ed806d7e73652372a124d05,90731,https://www.glamira.cz/glamira-prsten-neroli.html?alloy=yellow-585&itm_source=recommendation&itm_medium=viewall&diamond=tanzanite
5ed805db1b679337362d210f,102065,https://www.glamira.co.uk/glamira-pendant-lamyra.html?alloy=yellow-585&gclid=EAIaIQobChMIhILukrvm6QIVjbTtCh0oRg8KEAQYDCABEgKPGPD_BwE&diamond=diamond-sapphire
5ed8054bc671fc36b7458acd,99316,https://www.glamira.it/sense-muse-4-mm.html?alloy=red-375
5ed8051b30c31e37302db028,99419,https://www.glamira.de/damenring-sense-muse-6-mm.html?alloy=white_red-375&gclid=EAIaIQobChMI-sOv47rm6QIVAQeLCh3jvg7KEAEYASADEgJAuPD_BwE
5ed804db385d1f36b89e87d0,98359,https://www.glamira.it/glamira-ring-egidia.html?itm_source=recommendation&itm_medium=smartsearch&diamond=ruby
5ed8049b93ed00371ed73f1f,96641,https://www.glamira.ro/glamira-ring-hibiscus.html?alloy=red_white-585&diamond=diamond-Brillant&gclid=EAIaIQobChMIhcO_zrbm6QIVx0QYCh3q0Q4TEAsYASABEgIS0vD_BwE
5ed802a787725937125f4246,99353,https://www.glamira.de/damenring-infinite-emotion-3-mm.html?alloy=white_red-585&stone=diamond-Zirconia
5ed801fd98c9ed3784603fd0,97390,https://www.glamira.de/glamira-earring-passaros.html?gclid=Cj0KCQjwlN32BRCCARIsADZ-J4tcs1eo3-G2xxWSWF_aDXaniCePOX2XbkRJbftRAnjratBmw3HunY4aAhPSEALw_wcB&alloy=white_red-585&diamond=sapphire
5ed801b88000343760043d6e,97390,https://www.glamira.de/glamira-earring-passaros.html?gclid=Cj0KCQjwlN32BRCCARIsADZ-J4tcs1eo3-G2xxWSWF_aDXaniCePOX2XbkRJbftRAnjratBmw3HunY4aAhPSEALw_wcB&alloy=white_red-585&diamond=sapphire
5ed8019384f6c5377e9580b5,102527,https://www.glamira.cz/glamira-ring-ebrina.html?itm_source=recommendation&itm_medium=sorting&synthetic=labsapphire&diamond=sapphire&alloy=yellow-585
5ed7fed94c9ffc36e828242e,96616,https://www.glamira.sg/glamira-ring-cannoli.html?alloy=white-585&diamond=diamond-sapphire&stone2=diamond-Brillant
